"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5153.29821050756","4473.5190883177","2634.96312448389","2484.55232933972","2683.63753337356","2912.78105698073","3105.95278074442","3236.06050832406","3505.36840234803","3660.03411955301","3921.85752187599","4346.90750559669","4965.22435904764","5698.77847656251","6334.85615310927","7259.20389235415","8273.78569972956","9476.47149359946","10201.5594510386","8819.67745940627","9068.78765139006","9551.15813085673","10289.9756312671","10677.3036548195","11105.5324996261","11506.0389896756","11580.3836431751","12509.6396064818","13231.4310690444","14317.5528692827","13357.6970638572","14193.1168340619","16041.8297023795",
"American Samoa","ASM","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15264.3519217204","15521.5924244961","15452.5013305767","15978.0180002679","16730.213917378","15690.6447203844","16391.4203137355","16943.5871624583","17414.1311767414","17754.2216901168","18545.582617257","17432.7006858778","17388.2274596237","18236.9350716793","19077.0634773959","20076.0737937626","22340.3856860319","24087.6838669265","23726.9482603977","20571.5327275893","18701.750155066","18116.856451734","18526.0537238749","18243.4826025693","18779.1390773289","19344.6656127269","20267.5487573342","20777.5594989337","22072.5556934445","22908.6392551795","18787.5643794635","19899.8824253531","21457.9378904139",
"Australia","AUS","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31006.100226642","30496.126448268","30285.8538220866","31232.5854761276","32164.6588358849","33044.8444951246","33905.2629442993","34852.7517360261","36099.0229106261","37475.9787592588","38494.8866763373","38779.6000002663","39872.1475260579","40642.5622844033","41905.8496649704","42704.4424723347","43286.7235365751","44109.6693742979","44777.2737194117","44684.4014940539","44965.3933643214","45405.3653652747","46360.6071243229","46744.6238819012","47240.2744640204","47567.6806608932","48109.2027153453","48400.2457875228","49052.8179535889","49379.093333787","48747.8517145133","49774.3407019167","50997.5464327292",
"Austria","AUT","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37494.5604129864","38399.6740222967","38774.4902606316","38658.6497800224","39435.210024783","40425.3937190819","41319.3749974645","42136.6622802741","43597.8900710725","45060.6187543953","46469.8610601036","46878.9162398602","47419.2784117541","47633.1140009916","48633.2718157639","49387.0278641202","50840.6944621561","52565.0739687956","53166.0542015286","51030.7246778186","51843.4283275453","53179.1474647432","53297.4447850919","52997.7538166712","52932.9001116518","52873.8586545571","53345.7415259818","54172.9867888254","55217.2865300768","55806.4382499366","51988.4158297933","54121.1455420496","56280.5083306017",
"Azerbaijan","AZE","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7616.91027506113","7463.62885967495","5690.18091817449","4309.92146212108","3414.51120535595","2976.99522138353","2985.3371754857","3128.1641351317","3408.4753810397","3628.71688349932","3998.52048313078","4360.45944142426","4736.56437632615","5180.68645770222","5610.76313748494","7106.59790726031","9453.94185980601","11684.1915431474","12672.3762154835","13565.8550922117","14082.2381481679","13913.8366943419","14027.468790254","14651.693970776","14867.9437345406","14852.6117080302","14232.1926180142","14121.4069355591","14209.5931685619","14442.0408668016","13726.7696576885","14433.9042060355","15044.9440415466",
"Burundi","BDI","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1175.15508588164","1209.38815751804","1190.06743509192","1153.54130871448","1103.16729785112","956.490976068577","880.309412060732","867.284264991798","891.699843688771","862.006680432851","837.348411451095","833.670878742379","846.747295184596","810.552335241984","818.746063270769","796.108713073826","809.696010652699","807.44748064358","812.592169776878","801.803427362171","804.354940804194","807.6649575843","814.32077076854","824.610522607553","831.294838603726","781.579287257152","764.336602194152","750.787616270977","740.448222531284","729.658462620426","711.355263423169","714.066712377554","708.178317277191",
"Belgium","BEL","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35506.9265146541","36023.6842838954","36426.9931547081","35935.9573927225","36981.4489459975","37784.149887365","38208.7186734905","39562.3729801955","40252.4689057051","41583.0973922951","43024.1399101042","43347.8892099274","43890.5981100134","44160.9114292454","45540.4669120107","46342.1866093314","47212.577772728","48590.4005353331","48423.515483961","47064.7900198376","47972.558838523","48154.8711461252","48210.9246578014","48204.5856992867","48748.6205926039","49456.3985817783","49829.9273887741","50442.2705419624","51113.4817384021","51987.7139145095","48988.2347037897","51823.5075295903","53155.9110104316",
"Benin","BEN","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2109.55933453942","2132.39681585033","2129.20121408603","2155.36661622986","2118.27869416473","2200.59378390827","2237.52632357637","2297.99430259476","2317.48129543185","2367.76122438256","2431.44565209518","2485.11653056274","2523.60997287676","2532.99842789075","2566.34565710566","2528.6764808549","2549.19441865313","2625.21275541059","2673.76934866223","2656.43164182497","2634.13472813125","2633.93905955431","2681.35166132027","2792.02729966348","2883.89909753626","2849.82049921494","2859.39168542717","2933.8373843172","3040.1675201443","3156.43895692884","3186.48629441558","3321.55217445962","3435.17182729466",
"Burkina Faso","BFA","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","981.844761883421","1044.17391975505","1021.14451625888","1030.55920362618","1018.1222087886","1049.08371744821","1135.25666022841","1176.38390281081","1228.1228689112","1280.92272037571","1266.74481663807","1310.07221197696","1325.70342969155","1385.45504828434","1402.78437162473","1477.03982209929","1521.15445427702","1536.3858137955","1578.34582603774","1578.14893890186","1661.87202140763","1720.08252228733","1776.39099745576","1823.59495248367","1846.64512676697","1862.85471186197","1916.7563817824","1978.15501161376","2051.21843060824","2110.06231119074","2093.73364729869","2179.78903866639","2156.12552817895",
